station_code,sta_lat,sta_lon
N2OHR,14.5875,36.4485
HU.RBN,14.219000000000001,45.50516666666667
HU.TNK,14.412666666666667,44.88016666666667
HU.TOI,14.2455,44.29683333333333
HU.HRK,14.624833333333333,43.4885
HU.NBT,14.753333333333332,43.650166666666664
HU.RUS,14.927,44.16683333333334
HU.URH,14.57,43.036833333333334
HU.MYR,14.633500000000002,42.39683333333333
HU.MUJ,14.465333333333334,42.305166666666665
HU.HIC,14.488166666666666,42.9785
HU.HAM,14.245999999999999,43.75516666666667
HU.HSS,14.2455,42.971833333333336
HU.SKB,14.532833333333333,43.3085
HU.OKT,14.555666666666667,42.26683333333333
HU.ESH,14.174166666666666,41.91683333333333
HU.MOS,14.579333333333333,41.5785
HU.MSK,14.347166666666666,43.1235
HU.SRK,14.024000000000001,41.530166666666666
HU.TMU,14.530666666666667,43.356833333333334
HU.OKS,14.678333333333333,42.22683333333334
HU.RBS,14.201166666666666,45.3785
HU.TUR,14.331166666666666,44.56183333333333
HU.AIB,14.525666666666666,43.99183333333333
HU.KNP,14.608166666666666,43.87683333333333
HU.SYJ,14.183,43.511833333333335
HU.AKK,14.756333333333334,43.04183333333333
HU.IWN,14.542333333333334,42.73016666666666
HU.KMU,14.546833333333332,42.3135
HU.MSN,14.420833333333333,42.50683333333333
HU.STD,14.2945,43.596833333333336
HU.AKA,14.231666666666667,43.371833333333335
HU.IMG,14.140333333333333,42.47683333333333
HU.KIW,14.615833333333333,42.16683333333333
HU.KKJ,14.022333333333334,41.900166666666664
HU.GAM,14.0285,41.6235
HU.TES,14.7655,43.50683333333333
HU.OON,14.138833333333334,41.966833333333334
HU.NMR,14.9715,43.375166666666665
HU.ERM,14.653333333333332,42.026833333333336
HU.MSR,14.454333333333333,44.3685
HU.ODT,14.895,43.591833333333334
HU.HTU,15.008166666666666,43.27516666666667
HU.MED,14.275333333333334,43.2485
HU.NKN,14.309333333333333,43.1685
HU.STZ,14.327666666666666,43.00683333333333
HU.KMI,14.684166666666668,42.15683333333333
